Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek
58,Private,33350,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40
34,Self-emp-not-inc,120672,7th-8th,4,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,40
28,Private,37359,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60
38,Private,83727,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40
33,Private,554206,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Male,0,0,40
37,Private,188774,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,80
42,Self-emp-inc,204033,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,50
47,Local-gov,193012,Masters,14,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40
51,Private,169364,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40
36,Private,33001,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,40
57,Private,182062,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40
42,Private,107276,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40
61,Private,213321,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40
64,Local-gov,50442,9th,5,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40
22,Private,60668,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40
17,Private,73145,9th,5,Never-married,Craft-repair,Own-child,White,Female,0,0,20
44,Private,286750,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1902,45
53,Self-emp-not-inc,30008,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40
30,Private,182177,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40
41,Private,70092,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40
27,Private,381789,12th,8,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,40
50,Private,94391,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
50,Private,195690,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40
19,Private,327397,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,35
26,Self-emp-not-inc,221626,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,1579,40
49,State-gov,194895,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40
33,Private,373662,1st-4th,2,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,0,0,30
25,Private,131463,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50
50,State-gov,54709,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35
40,Private,121874,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45
44,Private,121130,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40
55,Private,23789,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40
35,Private,180686,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40
29,State-gov,188986,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,0,1590,40
43,Private,213844,HS-grad,9,Married-AF-spouse,Craft-repair,Wife,Black,Female,0,0,40
18,Private,88642,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15
41,Private,242089,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
42,Private,245317,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40
19,Private,307496,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30
27,Private,130438,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40
33,Local-gov,281784,Bachelors,13,Never-married,Tech-support,Not-in-family,Black,Male,0,1564,40
32,Private,168138,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,2597,0,40
52,Private,48343,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
56,Private,139616,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40
19,Private,220101,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40
63,?,179981,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40
37,Private,242713,12th,8,Separated,Priv-house-serv,Unmarried,Black,Female,0,0,40
21,Private,146499,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,1579,35
43,Private,373403,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
25,Private,22546,Bachelors,13,Never-married,Transport-moving,Own-child,White,Male,0,0,40
69,Private,230417,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40
27,Private,223751,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40
69,?,476653,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40
43,?,405374,Some-college,10,Separated,?,Not-in-family,Black,Male,0,0,40
28,Private,416577,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2829,0,40
34,Local-gov,35683,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40
42,Private,145711,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50
18,Private,193166,9th,5,Never-married,Sales,Own-child,White,Female,0,0,20
21,Private,163595,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20
61,Self-emp-not-inc,115882,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
68,Self-emp-not-inc,166083,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
19,State-gov,127085,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,35
60,?,160155,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40
28,Private,791084,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40
59,State-gov,139616,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
26,Private,33939,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40
22,Private,208946,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20
48,State-gov,353824,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40
31,Private,341672,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40
66,Private,174491,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40
32,Private,143604,10th,6,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,40
40,Self-emp-not-inc,48859,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50
19,Private,236940,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40
43,Private,248094,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40
33,Private,208180,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40
42,Self-emp-not-inc,183765,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50
50,Self-emp-not-inc,343748,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
47,Private,181363,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50
19,Private,223392,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20
41,Private,67339,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40
31,Private,113667,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,40
45,Private,127738,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40
31,Private,91964,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50
46,Self-emp-inc,161386,9th,5,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40
55,?,227203,Assoc-acdm,12,Married-spouse-absent,?,Not-in-family,White,Female,0,0,40
26,Private,318934,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40
46,Self-emp-inc,278322,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50
36,Private,248010,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40
33,Local-gov,182971,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40
51,Private,138852,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
39,Private,91996,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40
51,Private,137815,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40
28,Private,161538,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40
64,Local-gov,199298,5th-6th,3,Divorced,Other-service,Not-in-family,White,Female,0,0,40
24,Private,196332,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,20
42,Private,153160,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40
38,Private,22494,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,7443,0,40
60,?,134152,9th,5,Divorced,?,Not-in-family,Black,Male,0,0,40
18,Private,102182,12th,8,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,15
35,Private,167062,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40
38,Private,129102,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
36,Private,185405,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40
50,?,257117,9th,5,Married-civ-spouse,?,Husband,White,Male,0,0,40
23,Private,41721,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
27,Private,210498,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
52,Local-gov,330799,9th,5,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40
19,Private,64112,12th,8,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30
23,Self-emp-inc,215395,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50
41,Private,93793,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50
17,Private,38611,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,30
20,Private,56322,Some-college,10,Never-married,Other-service,Own-child,White,Male,2176,0,20
18,Private,182643,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20
28,Private,173611,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40
35,Self-emp-not-inc,185621,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40
18,Local-gov,36411,12th,8,Never-married,Prof-specialty,Own-child,White,Male,0,0,20
43,Private,180138,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40
37,Private,243409,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60
31,Local-gov,331126,Bachelors,13,Never-married,Protective-serv,Own-child,Black,Male,0,0,40
30,Private,44419,Some-college,10,Never-married,Tech-support,Unmarried,White,Female,0,0,40
59,Private,182460,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
30,Private,186932,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
25,Local-gov,514716,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40
37,Private,308691,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,80
49,?,228372,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40
23,State-gov,136075,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30
56,Self-emp-inc,70720,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,27828,0,60
38,Private,108907,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40
33,Private,215288,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40
43,Private,245487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40
33,Private,345277,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40
28,Private,189186,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,40
20,Private,247794,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40
27,Self-emp-inc,64379,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,60
42,Private,274913,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40
