longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.3,33.91,36.0,1793.0,369.0,1075.0,357.0,3.875,500001.0,<1H OCEAN
-118.36,34.09,35.0,1384.0,236.0,669.0,227.0,3.875,500001.0,<1H OCEAN
-118.3,33.93,26.0,1839.0,306.0,1015,298,3.875,191800.0,<1H OCEAN
-118.39,34.11,33.0,1281.0,193.0,693.0,204.0,3.7917,192300.0,<1H OCEAN
-118.36,34.09,36.0,1840.0,330.0,1025.0,322.0,3.875,193800.0,<1H OCEAN
-118.34,33.91,36.0,1430.0,294.0,1039.0,292.0,3.875,266300.0,<1H OCEAN
-118.3,34.07,52.0,1820.0,319.0,1077.0,302.0,3.1917,500001.0,<1H OCEAN
-118.34,33.94,28.0,1868.0,357.0,1015.0,356.0,3.875,192300.0,<1H OCEAN
-118.0,33.83,27.0,1744.0,429.0,1233.0,398.0,3.875,202100.0,<1H OCEAN
-117.03,32.71,33.0,1869.0,340.0,1025.0,331.0,2.875,118800.0,<1H OCEAN
-118.29,34.06,36.0,2205.0,407.0,1166.0,394.0,3.875,226900.0,<1H OCEAN
-118.34,33.93,35.0,1459.0,309.0,1015.0,284.0,2.3661,129200.0,<1H OCEAN
-118.3,34.07,35.0,3265.0,758.0,2300.0,704.0,3.875,218600.0,<1H OCEAN
-118.47,34.02,35.0,1414.0,266.0,1015.0,253.0,3.5486,269700.0,<1H OCEAN
-118.37,34.07,52.0,2470,464,1506,479,3.1917,500001.0,<1H OCEAN
-118.34,33.91,36.0,1685.0,322.0,1023.0,303.0,3.5486,500001.0,<1H OCEAN
-118.35,34.08,52.0,1310.0,238.0,731.0,227.0,2.875,500001.0,<1H OCEAN
-119.72,36.77,52.0,1820.0,322.0,914.0,317.0,2.875,103000.0,<1H OCEAN
-118.36,34.07,52.0,1527.0,322.0,1009.0,322.0,3.1917,500001.0,<1H OCEAN
-118.3,34.08,52.0,1779.0,322.0,914.0,317.0,3.875,500001.0,<1H OCEAN
-118.3,33.91,29.0,1616.0,342.0,1023.0,337.0,3.1917,500001.0,<1H OCEAN
-118.23,34.17,36.0,2257.0,464.0,1316.0,447.0,4.1518,213000.0,<1H OCEAN
-118.3,34.1,36.0,1974.0,410.0,1258.0,393.0,4.375,234700.0,<1H OCEAN
-118.3,34.07,41.0,1238.0,244.0,775.0,226.0,3.875,191300.0,<1H OCEAN
-118.27,34.05,52.0,1506.0,322.0,914.0,317.0,3.875,191300.0,<1H OCEAN
-118.3,34.07,52.0,1662.0,322.0,1001.0,322.0,2.7857,150000.0,<1H OCEAN
-118.3,34.07,52.0,1330.0,244.0,697.0,231.0,2.875,150000.0,<1H OCEAN
-118.16,33.77,52.0,1917.0,352.0,1080.0,345.0,3.875,191700.0,<1H OCEAN
-119.71,36.77,38.0,1501.0,337.0,1135.0,322.0,2.3088,100000.0,<1H OCEAN
-118.39,34.13,29.0,1868.0,358.0,1005.0,342.0,3.875,194300.0,<1H OCEAN
-118.3,34.07,52.0,1683.0,389.0,1056.0,372.0,3.1912,191300.0,<1H OCEAN
-118.31,34.08,52.0,2343.0,464.0,1314.0,456.0,3.875,500001.0,<1H OCEAN
-118.46,34.03,29.0,1231.0,358.0,1165.0,354.0,3.875,253100.0,<1H OCEAN
-118.3,34.07,52.0,1866.0,394.0,1039.0,384.0,3.875,500001.0,<1H OCEAN
-118.37,34.07,52.0,1663.0,332.0,1025.0,317.0,2.875,137500.0,<1H OCEAN
-118.28,34.03,35.0,1655.0,343.0,1129.0,332.0,3.875,173400.0,<1H OCEAN
-118.16,34.07,36.0,1673.0,322.0,1022.0,303.0,4.1518,186900.0,<1H OCEAN
-118.3,33.93,36.0,1469.0,292.0,1175.0,283.0,4.375,194400.0,<1H OCEAN
-118.3,34.07,52.0,1663.0,421.0,1229.0,393.0,2.875,150000.0,<1H OCEAN
-118.47,34.05,52.0,1500.0,337.0,1021.0,322.0,4.375,269700.0,<1H OCEAN
-118.34,33.91,34.0,2017.0,390.0,1094.0,372.0,3.1917,172200.0,<1H OCEAN
-118.3,33.94,26.0,1706.0,389.0,1235.0,372.0,4.375,212500.0,<1H OCEAN
-118.35,33.91,37.0,1235.0,320.0,1025.0,303.0,3.7917,190500.0,<1H OCEAN
-118.06,33.87,36.0,2029.0,479.0,1835.0,465.0,3.875,225000.0,<1H OCEAN
-118.3,34.08,52.0,2033.0,408.0,1175.0,393.0,3.1917,500001.0,<1H OCEAN
-118.3,34.07,36.0,2023.0,348.0,1007.0,335.0,3.875,500001.0,<1H OCEAN
-119.8,36.78,52.0,1288.0,222.0,696.0,219.0,2.875,75000.0,<1H OCEAN
-118.3,33.91,28.0,1639.0,322.0,1052.0,322.0,2.875,150000.0,<1H OCEAN
-118.3,34.1,29.0,1526.0,322.0,1073.0,317.0,2.3661,500001.0,<1H OCEAN
-118.3,34.07,52.0,1683.0,322.0,1025.0,302.0,4.375,226900.0,<1H OCEAN
-118.36,34.08,52.0,1527.0,322.0,1079.0,322.0,2.9375,500001.0,<1H OCEAN
-118.3,34.1,36.0,1219.0,261.0,1047.0,248.0,4.875,214200.0,<1H OCEAN
-118.37,34.08,52.0,1867.0,384.0,1165.0,347.0,3.875,234200.0,<1H OCEAN
-118.28,34.02,52.0,1916.0,397.0,1210.0,384.0,3.125,156300.0,<1H OCEAN
-118.34,33.91,27.0,2009.0,466.0,1506.0,479.0,3.1917,176400.0,<1H OCEAN
