Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss
28,Private,84547,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0
33,Private,216145,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
60,Private,232618,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
35,Private,172845,Assoc-voc,11,Never-married,Other-service,Unmarried,White,Female,0,0
49,State-gov,216734,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Female,0,0
50,State-gov,116211,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
18,Private,165532,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0
23,?,281668,10th,6,Never-married,?,Own-child,Black,Female,0,0
37,Private,324019,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0
26,Private,238768,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0
28,Private,182344,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0
41,Federal-gov,106982,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0
36,Private,290409,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0
47,Private,357848,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
24,State-gov,211049,7th-8th,4,Never-married,Tech-support,Unmarried,White,Female,0,0
53,Private,278114,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
33,Private,238912,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0
59,Local-gov,93211,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0
52,Private,259583,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0
31,Private,33117,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0
38,Private,111499,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0
19,?,291509,12th,8,Never-married,?,Own-child,White,Male,0,0
25,Private,302465,12th,8,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0
60,Local-gov,195453,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
69,?,199591,Prof-school,15,Married-civ-spouse,?,Wife,White,Female,0,0
24,Private,184756,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0
42,Private,198096,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0
46,Local-gov,175428,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0
46,Self-emp-inc,216414,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0
20,Private,223811,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0
55,Self-emp-not-inc,53566,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,0
28,Private,128509,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0
44,Private,150076,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0
34,Private,226443,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0
33,Private,168981,Masters,14,Divorced,Exec-managerial,Own-child,White,Female,14084,0
26,Private,302097,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3464,0
43,Self-emp-not-inc,396758,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0
30,Private,131588,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Female,0,0
71,?,205011,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0
64,Self-emp-inc,132832,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,20051,0
21,Private,143582,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0
23,Private,170482,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0
38,Private,266645,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
25,State-gov,180884,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0
62,Private,149617,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0
60,Self-emp-not-inc,193038,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0
66,Self-emp-not-inc,104576,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
42,Private,319016,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,2885,0
37,Private,143058,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
40,Private,287008,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0
34,Local-gov,144182,Preschool,1,Never-married,Adm-clerical,Own-child,Black,Female,0,0
33,Private,92865,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0
52,Self-emp-inc,114758,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0
25,Private,34541,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0
42,Private,185057,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0
36,Private,169926,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0
21,Private,229826,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0
42,State-gov,190044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0
28,?,169631,Assoc-acdm,12,Married-AF-spouse,?,Wife,White,Female,0,0
19,?,204868,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0
45,?,51164,Some-college,10,Married-civ-spouse,?,Wife,Black,Female,0,0
37,Private,109133,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0
33,Self-emp-inc,132601,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
53,Private,139671,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
36,Self-emp-inc,183898,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0
29,Local-gov,273771,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0
36,Private,187167,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0
49,Private,101320,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0
35,Private,215310,11th,7,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0
54,Private,188186,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0
18,Private,31983,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0
47,Self-emp-inc,205100,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0
39,Private,29814,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0
61,Private,147280,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0
43,Private,59107,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,4101,0
27,Local-gov,92431,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0
23,Federal-gov,163870,Some-college,10,Never-married,Armed-Forces,Other-relative,White,Male,0,0
28,Private,69847,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0
45,Local-gov,318280,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0
21,Private,131620,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0
47,Private,103020,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,0,0
21,Private,222993,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0
18,?,261276,Some-college,10,Never-married,?,Own-child,Black,Female,0,0
35,Private,241001,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0
48,Self-emp-not-inc,58683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0
69,Private,185691,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0
45,Local-gov,140644,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0
35,Self-emp-inc,189404,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0
43,?,405374,Some-college,10,Separated,?,Not-in-family,Black,Male,0,0
61,Local-gov,34632,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0
