Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender
30,Private,54929,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
55,Local-gov,161662,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
41,Private,57233,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male
43,Private,188436,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male
33,Local-gov,175509,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
35,Private,538583,11th,7,Separated,Transport-moving,Not-in-family,Black,Male
19,Private,208366,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male
42,Self-emp-not-inc,27661,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
28,Private,303954,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
21,?,199915,Some-college,10,Never-married,?,Own-child,White,Male
29,Private,178551,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
28,Private,61487,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female
41,Private,178983,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female
42,Local-gov,193537,7th-8th,4,Married-spouse-absent,Other-service,Not-in-family,White,Male
22,Private,183083,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male
31,Private,112627,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male
40,Private,193537,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female
22,Private,464103,1st-4th,2,Never-married,Craft-repair,Not-in-family,White,Male
54,Private,185042,1st-4th,2,Separated,Priv-house-serv,Other-relative,White,Female
28,Private,83879,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male
46,Self-emp-not-inc,328216,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
36,Private,164898,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
58,Self-emp-inc,154537,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female
27,Private,100168,7th-8th,4,Married-civ-spouse,Other-service,Wife,White,Female
