Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry
35,Private,240389,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,43,United-States
41,Local-gov,42346,Some-college,10,Divorced,Other-service,Not-in-family,Black,Female,0,0,24,United-States
60,Local-gov,48788,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,5455,0,55,United-States
50,Local-gov,97449,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States
43,Private,187795,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
64,Private,66634,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,27828,0,50,United-States
22,Private,324445,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States
21,?,85733,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States
27,Private,81540,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
48,Private,119565,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
36,Private,150601,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
47,Private,114459,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
57,State-gov,25045,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Male,2174,0,37,United-States
65,Private,172510,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,1848,0,20,United-States
40,Private,109969,11th,7,Divorced,Other-service,Other-relative,White,Female,0,0,20,United-States
30,Private,261677,9th,5,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States
20,State-gov,161978,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States
44,Private,151089,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,60,United-States
29,Private,202878,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2042,40,United-States
25,Private,349190,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States
51,Self-emp-inc,231230,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States
30,Private,137606,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5013,0,40,United-States
63,?,424591,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
60,Private,132529,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
48,State-gov,212954,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States
