Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation
54,Private,159755,Some-college,10,Married-civ-spouse,Exec-managerial
37,Local-gov,217689,Some-college,10,Married-civ-spouse,Protective-serv
24,Private,184400,HS-grad,9,Never-married,Machine-op-inspct
40,State-gov,390781,HS-grad,9,Divorced,Adm-clerical
35,Private,340018,10th,6,Never-married,Craft-repair
17,Private,73338,11th,7,Never-married,Sales
32,State-gov,304212,HS-grad,9,Never-married,Adm-clerical
68,Private,253866,Bachelors,13,Married-civ-spouse,Exec-managerial
34,Private,185556,Some-college,10,Never-married,Sales
37,Self-emp-inc,186359,HS-grad,9,Married-civ-spouse,Exec-managerial
30,Federal-gov,164552,Bachelors,13,Never-married,Adm-clerical
39,State-gov,179668,Some-college,10,Married-civ-spouse,Adm-clerical
24,Private,73928,Assoc-voc,11,Never-married,Adm-clerical
45,Local-gov,135776,Masters,14,Divorced,Prof-specialty
28,Private,119793,Assoc-voc,11,Divorced,Craft-repair
43,Private,63503,Bachelors,13,Married-civ-spouse,Exec-managerial
43,Self-emp-not-inc,33521,Bachelors,13,Divorced,Exec-managerial
44,Private,210534,5th-6th,3,Married-civ-spouse,Machine-op-inspct
23,Private,200318,Assoc-acdm,12,Never-married,Sales
31,Private,183778,Bachelors,13,Never-married,Prof-specialty
44,Private,125461,Doctorate,16,Married-civ-spouse,Prof-specialty
30,Private,426431,Masters,14,Never-married,Prof-specialty
53,Federal-gov,173093,Some-college,10,Married-civ-spouse,Adm-clerical
55,Local-gov,176046,Masters,14,Married-civ-spouse,Prof-specialty
25,Private,178478,Bachelors,13,Never-married,Prof-specialty
23,Private,340543,Bachelors,13,Never-married,Sales
32,Private,110279,Assoc-acdm,12,Divorced,Sales
36,Private,171676,Bachelors,13,Never-married,Prof-specialty
28,Private,444304,Bachelors,13,Married-civ-spouse,Exec-managerial
33,Private,309350,HS-grad,9,Married-civ-spouse,Craft-repair
18,Private,39411,11th,7,Never-married,Machine-op-inspct
42,Local-gov,194417,Some-college,10,Married-civ-spouse,Protective-serv
35,Private,227571,7th-8th,4,Married-civ-spouse,Craft-repair
37,Private,468713,Some-college,10,Married-civ-spouse,Craft-repair
50,Private,184424,Some-college,10,Married-civ-spouse,Exec-managerial
31,Private,184306,Assoc-voc,11,Never-married,Adm-clerical
54,Private,138847,HS-grad,9,Married-civ-spouse,Craft-repair
