sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,Iris-setosa
6.4,3.2,4.5,1.5,versicolor
6.3,2.5,5.0,1.9,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa
6.1,2.9,4.7,1.4,versicolor
6.4,3.2,4.5,1.5,versicolor
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,setosa
4.6,3.2,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
6.3,2.5,4.9,1.5,Iris-versicolor
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.7,1.5,0.4,setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
6.3,2.5,4.9,1.5,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,setosa
5.1,3.5,1.4,0.2,setosa
6.1,2.8,4.0,1.3,versicolor
5.1,3.5,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,setosa
5.6,2.9,3.6,1.3,versicolor
5.1,3.5,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
