longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.42,34.18,28,3097,453,1361,470,6.3873,323400,<1H OCEAN
-118.15,34.18,29,2185,431,913,401,4.4631,263600,INLAND
-118.30,34.26,29,2119,329,828,328,3.2500,176500,INLAND
-121.92,37.53,27.0,2098,307,1067,293,6.1273,315600,<1H OCEAN
-118.37,34.21,38,2009,404,1191,409,4.7120,228400,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-121.24,39.37,16.0,3422,710.0,1910,663,4.0368,85500,INLAND
-118.17,34.02,26,2753,492,1269,474,5.9798,253100,<1H OCEAN
-121.24,39.37,17,2093,355,1066,289,3.62,93800,INLAND
-122.45,37.90,52,2703,591,1181,568,3.7356,341300,NEAR BAY
-120.95,38.03,24,3028,597,1341,568,3.2596,134100,INLAND
-121.24,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR_BAY
-121.92,37.53,25,3226,533,1343,496,6.7829,246900,"""<1H OCEAN"""
-118.37,34.10,32.0,2525.0,485.0,1185.0,480.0,4.8206,307500.0,<1H OCEAN
-118.42,33.96,25,2396,415,1104,425,4.6121,226500,<1H OCEAN
-121.22,38.68,19,2847,682,1323,671,3.1276,124800,INLAND
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-121.86,39.78,12,3134,871,1914,823,3.11,113800,INLAND
-122.27,37.87,45,2592,550,1338,548,4.1250,242500,NEAR BAY
-122.16,37.43,41,1024,198,671,203,5.2222,225000,NEAR BAY
-118.42,34.18,47,1403,298,731,274,4.4259,266600,INLAND
-118.42,34.19,37.0,2030,439.0,1164,415,3.1786,173300,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-121.27,38.57,26,2195,390,862,376,4.1382,176900,INLAND
-118.14,34.16,29,3172,573,1633,521,5.8139,242100,INLAND
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-118.30,34.25,26,2354,463,1127,449,4.7250,253200,INLAND
-118.20,34.07,29,2134,341,1219,337,6.4266,234700,INLAND
-117.92,33.73,17,2130,545.0,1377,535,3.2708,153100,INLAND
-119.57,34.42,24,1032,213,512,208,3.125,166300,INLAND
-121.55,39.23,23,2707,441,1237,439,3.9333,126000,INLAND
-117.87,33.76,22,2560,524,1662,484,4.1250,186000,<1H OCEAN
-118.42,34.15,34,2861,563,1367,542,4.6354,303800,INLAND
-118.49,34.26,29,3100,685,2401,607,3.1714,182500,INLAND
-122.17,37.77,47,2098,397,915,375,4.1597,329800,NEAR BAY
-118.42,34.18,35,2503,401,1216,408,5.6496,262000,INLAND
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-121.92,37.53,25,2098,390,1015,355,4.9519,190600,INLAND
-118.37,34.14,38,1851,362,929,350,4.6471,287600,<1H OCEAN
-118.29,34.03,27,2837,430,1292,436,5.4858,315100,INLAND
-118.14,34.17,26,2704,739,2300,682,4.0313,133300,INLAND
-122.26,37.83,35,2244,546,1288,514,4.9323,211500,NEAR BAY
-122.25,37.85,52,1627,280,565,259,3.8462,452600,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.25,37.85,52,1627,280,690,259,3.575,342200,NEAR BAY
-121.22,37.86,24,3810,787,2434,747,4.5909,190400,INLAND
-118.42,33.89,30,2490,521,1309,503,4.1947,219500,<1H OCEAN
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-117.26,33.18,21.0,1384,284.0,771,279,5.7842,243500,<1H OCEAN
-121.8,37.22,35,2004,517,1204,486,4.5903,223200,INLAND
-121.24,39.37,16,2785,616,1387,530,3.7125,94600,INLAND
-117.18,33.28,15.0,3399,642,1847,633,4.3750,212300,INLAND
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY
-118.42,34.19,29.0,1558.0,324.0,796.0,280.0,4.7146,182100.0,INLAND
-122.25,37.85,52,1627,280,565,259,3.8462,342200,NEAR BAY
-118.15,34.20,35,2500,560,1300,550,4.5,190000,INLAND
-118.23,34.05,35,2005,471,853,450,4.8778,250000,<1H OCEAN
-121.89,37.29,38,1568,351,710,339,2.7042,212500,INLAND
-122.27,37.85,52,2112,399,985,382,4.3481,204200,NEAR BAY
-118.38,34.19,32,1864,348,1235,336,4.694,220500,INLAND
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-118.45,34.26,27.0,3274.0,539.0,1704.0,533.0,6.6595,344600.0,'INLAND'
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-121.46,38.58,29,2205,308,1283,307,6.3321,251400,INLAND
-117.47,34.07,16,3859,871,2279,841,4.0972,167900,INLAND
-122.87,37.62,27,2587,534,1307,517,4.1327,224800,NEAR BAY
-122.25,37.87,41,880,129,322,126,8.3252,452600,NEAR BAY
-122.23,37.85,45,3510,710,1537,665,4.9375,352100,NEAR BAY
-121.32,39.28,37,1855,349,946,339,3.0125,94800,INLAND
-118.27,34.03,35,1804,411,871,393,4.625,249200,<1H OCEAN
-121.2,37.9,32,2688,568,1356,536,4.125,187000,INLAND
-118.05,33.92,32,1680,363,891,356,3.6176,174400,INLAND
-121.32,38.69,26,2861,476,1427,474,5.4831,183800,INLAND
-118.29,34.25,29,2596,644,1840,604,3.2596,172600,INLAND
-122.25,37.85,52,1864,343,1026,316,4.8750,269300,NEAR BAY
-118.31,34.05,39,3216,507,1717,495,6.603,261400,"""INLAND"""
-121.74,38.54,18,2310,561,1207,498,3.3896,99200,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-118.39,34.12,29,644,101,218,103,8.2816,500001,NEAR BAY
-122.17,37.76,37,2113,444,1013,413,5.7209,254900,1h_ocean
-121.24,38.91,38,3589,507,1773,559,5.6471,146500,INLAND
-117.11,32.75,34,2611,458,1066,437,4.8542,252100,<1H OCEAN
-122.25,37.85,52,1627,235,322,120,8.3014,451500.0,NEAR BAY
-118.27,34.05,33.0,1845,366,987,336,4.5938,175900,'INLAND'
-118.45,34.20,32,2001,412,954,385,4.6533,235500,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-121.37,38.56,15,2603,543,1413,471,3.8235,130100,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-117.9,33.63,27.0,3075,734.0,1620,694,4.32,197800,NEAR OCEAN
-118.43,34.10,35,2212,508,1441,489,3.4839,181300,INLAND
-117.97,33.91,24,2721,526,1624,498,4.8289,215300,'INLAND'
-118.36,34.05,32,2615,480,1745,476,4.3625,236500,INLAND
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-122.26,37.84,37,1524,358,802,352,4.1359,187300,NEAR BAY
-122.16,37.80,52,2070,339,929,366,5.9536,355800,NEAR BAY
-122.25,37.86,52,1627,280,565,259,3.8462,342200,NEAR BAY
-122.25,37.85,52,1627,280.0,565,259,3.8462,342200,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-118.29,34.19,30,2357,471,1054,459,3.4583,173200,INLAND
-118.28,34.06,34,2076,450,1370,432,4.1250,201500,<1H OCEAN
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-118.37,34.19,27,2014,361,1106,356,4.7122,222500,INLAND
-122.25,37.85,52,1824,348,710,335,5.6431,342200,NEAR BAY
-118.31,34.08,29,2644,500,1176,485,5.7835,246600,<1H OCEAN
-118.45,34.25,29,2135,423,911,389,4.6250,215000,INLAND
-122.25,37.85,52,1627,235,322,120,8.3014,452600,NEAR BAY
-117.34,33.26,33,2158,359,1016,336,6.0972,270200,INLAND
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-117.98,33.76,20,2458,484,1129,455,4.2344,206100,<1H OCEAN
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-118.56,34.22,25,3105,562,1881,538,5.3401,236800,INLAND
-118.45,34.20,28,2516,500,1315,481,4.7188,173800,<1H OCEAN
-118.24,34.02,37,1662,370,956,348,4.5982,213700,INLAND
-122.28,37.84,52,1467,190,496,177,7.2574,352100,NEAR BAY
-121.22,37.86,24,3830,721,1869,710,4.625,198300,INLAND
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-117.95,33.86,36,2849,560,1712,545,4.625,186800,INLAND
-117.03,32.71,16.0,2115.0,399.0,1100.0,397.0,4.1518,169700.0,INLAND
-118.42,34.18,35,2502,534,1397,502,4.4375,194300,INLAND
-122.07,37.63,41,1125,253,583,248,8.1021,364300,NEAR BAY
-118.39,34.12,29,6447,1012,2184,960,8.2816,500001,NEAR BAY
-121.87,37.34,27,4232,700,1851,680,5.4333,234100,INLAND
-119.68,34.42,29,2467,444,1222,429,5.1236,196300,INLAND
-118.24,34.16,44,4109,881,2176,786,5.1436,319800,INLAND
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.16,37.89,32,2030,390,900,367,5.62,248000,NEAR BAY
-117.49,33.83,16,2795,595,1610,568,4.2768,234200,INLAND
-122.42,37.66,37,2080,351,710,339,7.2277,371600,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-123.15,38.74,34,2543,436,1277,428,5.2565,196800,INLAND
-118.23,34.19,35,2665,471,1268,474,5.6458,259900,INLAND
-118.21,33.88,27,2751,661,1667,633,3.5676,188800,INLAND
-118.26,34.07,36.0,1732,419,1018,415,4.0714,160600,<1H OCEAN
-121.87,37.66,25,2411,486,1345,467,5.342,234700,INLAND
-122.25,37.85,52,1627,235,322,120,8.3014,451100,NEAR BAY
-121.45,38.53,26,2162,355,1227,348,3.9506,128900,INLAND
-118.29,33.92,27,2679,614,1680,583,4.1591,214800,<1H OCEAN
-118.29,34.25,38,1525,324,936,327,4.1518,228900,<1H OCEAN
-122.21,37.76,42,3015,511,1324,484,4.3125,217600,NEAR BAY
-121.23,38.62,28,2781,431,1194,397,4.8811,212500,INLAND
-118.41,34.08,35,2018,419,1111,395,4.0922,215200,INLAND
-118.46,34.06,36,2452,492,1309,481,4.3487,247000,INLAND
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.25,37.85,52,1627,235,322,120,8.3014,452600,NEAR BAY
-122.25,37.86,52,1467,190,496,177,7.2574,352100,NEAR BAY
-118.34,34.20,30,2568,573,1196,539,4.2137,210500,INLAND
-122.42,37.79,45,2464,410,1023,407,6.4518,358300,NEAR BAY
-122.26,37.84,45,2590,514,1109,489,3.6719,342200,NEAR BAY
-118.12,34.25,21,2410,489,1471,454,4.3226,193300,INLAND
-118.02,34.08,33,3126,627,1841,620,3.12,192100,INLAND
-118.28,34.04,35,2020,460,1025,450,3.45,189500,INLAND
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-122.25,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-117.96,33.94,27,2912,490,1577,488,6.5342,248300,INLAND
-121.33,37.96,25,2080,325,1295,328,5.7436,228100,INLAND
-117.3,33.28,20,2423,484,1041,472,4.0125,213200,<1H OCEAN
-121.92,37.73,42,2024,314,948,317,6.2153,300900,<1H OCEAN
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-121.58,39.45,35,1843,347,802,307,4.3468,102800,INLAND
-118.42,34.17,25,2862,590,2046,563,5.6111,236800,<1H OCEAN
-121.85,37.72,32,2073,361,1397,371,4.5906,227500,INLAND
-118.21,34.05,34,2830,607,1201,587,4.6250,196100,INLAND
-118.29,34.25,29,1505,409,1165,400,3.56,153200,INLAND
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY
-121.89,37.29,38,1568,351,710,339,2.7042,212500,INLAND
-117.89,33.62,16,3201,529,1551,534,5.6471,259900,INLAND
-122.25,37.85,52,1627,235,322,120,8.3014,452600,NEAR BAY
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-118.30,34.26,29,2134,489,1061,455,4.0368,329000,INLAND
-118.47,34.06,14.0,2233.0,317.0,769.0,277.0,8.3252,452600.0,NEAR BAY
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-118.35,34.21,32,1517,310,877,317,4.2222,250000,INLAND
-121.93,37.25,28,2547,576,1279,506,3.9359,193800,INLAND
-118.12,34.08,40,2673,523,1497,496,4.3958,211500,INLAND
-118.43,34.25,32.0,2170,441,1209,412,4.8036,255600,<1H OCEAN
-121.92,37.53,29,2070,361,1040,350,4.7120,197500,"""INLAND"""
-118.42,34.18,34,2867,507,1372,522,5.6033,270600,INLAND
-122.25,37.85,52,1627,280,565,259,3.8462,259200,NEAR BAY
-118.42,34.19,29,1640,348,873,342,4.1518,203100,INLAND
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.16,37.77,42,1897,334,947,342,5.3294,258100,NEAR BAY
-122.25,37.86,52,1467,190,496,177,7.2574,352100,NEAR BAY
-122.25,37.84,35,2500,480,1200,480,6.5,292000,NEAR BAY
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY
-117.90,33.63,36.0,3305.0,688.0,2577.0,665.0,4.1708,227700.0,<1H OCEAN
