target,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315_of_diluted_wines,proline
2,12.29,1.41,16.0,"16.0, magnesium = 85.0, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 428.",85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428.0
1,13.51,1.80,19.0,"19.0, magnesium = 110, total_phenols = 2.35, flavanoids = 2.53, nonflavanoid_phenols = 0.29, proanthocyanins = 1.54, color_intensity = 4.20, hue = 1.10, od280_od315_of_diluted_wines = 2.87, proline = 109",110,2.35,2.53,0.29,1.54,4.20,1.10,2.87,1095
1,13.05,1.73,12.4,"12.4, magnesium = 92, total_phenols = 2.72, flavanoids = 3.27, nonflavanoid_phenols = 0.17, proanthocyanins = 2.91, color_intensity = 7.20, hue = 1.12, od280_od315_of_diluted_wines = 2.91, proline = 115",92,2.72,3.27,0.17,2.91,7.20,1.12,2.91,1150
2,12.37,1.63,24.5,"24.5, magnesium = 88.0, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.33,0.99,14.8,"14.8, magnesium = 136.0, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.64,1.36,16.8,"16.8, magnesium = 100, total_phenols = 2.02, flavanoids = 1.41, nonflavanoid_phenols = 0.53, proanthocyanins = 0.62, color_intensity = 5.75, hue = 0.98, od280_od315_of_diluted_wines = 1.59, proline = 45",100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450
1,13.71,1.86,16.6,"16.6, magnesium = 101.0, total_phenols = 2.61, flavanoids = 2.88, nonflavanoid_phenols = 0.27, proanthocyanins = 1.69, color_intensity = 3.8, hue = 1.11, od280_od315_of_diluted_wines = 4.0, proline = 103",101.0,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
1,13.05,1.65,18.0,"18.0, magnesium = 98, total_phenols = 2.45, flavanoids = 2.43, nonflavanoid_phenols = 0.29, proanthocyanins = 1.44, color_intensity = 4.25, hue = 1.12, od280_od315_of_diluted_wines = 2.51, proline = 110",98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105
2,12.37,1.07,18.5,"18.5, magnesium = 88.0, total_phenols = 3.52, flavanoids = 3.75, nonflavanoid_phenols = 0.24, proanthocyanins = 1.95, color_intensity = 4.5, hue = 1.04, od280_od315_of_diluted_wines = 2.77, proline = 660.",88.0,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660.0
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.20, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.20,2.53,0.26,1.77,3.9,1.16,3.14,714
