prefix,suffix,response
"longitude = -117.74, latitude = 34.11, housing_median_age = 28.0, total_rooms = 3494.0, total_bedrooms = 566.0, population = 1391.0, households = 522.0, median_house_value = 214700.0, ocean_proximity = INLAND",median_income = 5.3637,median_income = 4.5841
"longitude = -122.13, latitude = 37.72, housing_median_age = 45.0, total_rooms = 2315.0, total_bedrooms = 451.0, population = 1006.0, households = 444.0, median_house_value = 186200.0, ocean_proximity = NEAR BAY",median_income = 3.524,median_income = 2.875
"longitude = -116.89, latitude = 32.85, housing_median_age = 16.0, total_rooms = 1743.0, total_bedrooms = 333.0, population = 652.0, households = 322.0, median_house_value = 158300.0, ocean_proximity = <1H OCEAN",median_income = 2.8906,median_income = 3.1917
"longitude = -122.09, latitude = 38.0, housing_median_age = 6.0, total_rooms = 10191.0, total_bedrooms = 1882.0, population = 4377.0, households = 1789.0, median_house_value = 204200.0, ocean_proximity = NEAR BAY",median_income = 5.2015,median_income = 6.2269
"longitude = -120.47, latitude = 37.34, housing_median_age = 9.0, total_rooms = 2934.0, total_bedrooms = 511.0, population = 1227.0, households = 501.0, median_house_value = 117200.0, ocean_proximity = INLAND",median_income = 3.6742,median_income = 2.7321
"longitude = -122.02, latitude = 37.99, housing_median_age = 37.0, total_rooms = 2247.0, total_bedrooms = 416.0, population = 1237.0, households = 397.0, median_house_value = 161900.0, ocean_proximity = NEAR BAY",median_income = 4.45,median_income = 2.3571
"longitude = -117.12, latitude = 32.74, housing_median_age = 52.0, total_rooms = 1969.0, total_bedrooms = 389.0, population = 877.0, households = 424.0, median_house_value = 163400.0, ocean_proximity = NEAR OCEAN",median_income = 3.79,median_income = 2.3087
"longitude = -118.31, latitude = 33.81, housing_median_age = 30.0, total_rooms = 1773.0, total_bedrooms = 356.0, population = 905.0, households = 352.0, median_house_value = 336000.0, ocean_proximity = <1H OCEAN",median_income = 4.3056,median_income = 4.5847
"longitude = -118.3, latitude = 33.98, housing_median_age = 48.0, total_rooms = 2010.0, total_bedrooms = 445.0, population = 1208.0, households = 404.0, median_house_value = 95800.0, ocean_proximity = <1H OCEAN",median_income = 1.6611,median_income = 1.9917
"longitude = -122.62, latitude = 37.97, housing_median_age = 52.0, total_rooms = 370.0, total_bedrooms = 62.0, population = 150.0, households = 56.0, median_house_value = 316700.0, ocean_proximity = NEAR OCEAN",median_income = 7.7006,median_income = 4.125
"longitude = -117.82, latitude = 33.79, housing_median_age = 26.0, total_rooms = 2641.0, total_bedrooms = 633.0, population = 3657.0, households = 617.0, median_house_value = 222300.0, ocean_proximity = <1H OCEAN",median_income = 4.1339,median_income = 4.8958
"longitude = -117.29, latitude = 34.14, housing_median_age = 52.0, total_rooms = 1683.0, total_bedrooms = 266.0, population = 646.0, households = 256.0, median_house_value = 97300.0, ocean_proximity = INLAND",median_income = 4.0481,median_income = 2.6991
"longitude = -117.97, latitude = 34.08, housing_median_age = 8.0, total_rooms = 2027.0, total_bedrooms = 480.0, population = 1781.0, households = 447.0, median_house_value = 142400.0, ocean_proximity = INLAND",median_income = 3.0806,median_income = 3.0714
"longitude = -117.13, latitude = 32.92, housing_median_age = 16.0, total_rooms = 1580.0, total_bedrooms = 241.0, population = 917.0, households = 261.0, median_house_value = 191100.0, ocean_proximity = <1H OCEAN",median_income = 4.7266,median_income = 4.1518
"longitude = -117.95, latitude = 33.84, housing_median_age = 32.0, total_rooms = 1378.0, total_bedrooms = 492.0, population = 1202.0, households = 448.0, median_house_value = 183700.0, ocean_proximity = <1H OCEAN",median_income = 3.4028,median_income = 3.0806
"longitude = -118.31, latitude = 33.73, housing_median_age = 36.0, total_rooms = 1725.0, total_bedrooms = 295.0, population = 799.0, households = 306.0, median_house_value = 368500.0, ocean_proximity = NEAR OCEAN",median_income = 5.0874,median_income = 3.9333
"longitude = -118.32, latitude = 34.03, housing_median_age = 47.0, total_rooms = 1734.0, total_bedrooms = 453.0, population = 1272.0, households = 438.0, median_house_value = 121500.0, ocean_proximity = <1H OCEAN",median_income = 3.1731,median_income = 2.9167
"longitude = -118.45, latitude = 34.22, housing_median_age = 24.0, total_rooms = 3442.0, total_bedrooms = 1168.0, population = 4625.0, households = 1097.0, median_house_value = 183000.0, ocean_proximity = <1H OCEAN",median_income = 2.0699,median_income = 4.2024
"longitude = -118.62, latitude = 34.17, housing_median_age = 32.0, total_rooms = 1491.0, total_bedrooms = 355.0, population = 756.0, households = 296.0, median_house_value = 262800.0, ocean_proximity = <1H OCEAN",median_income = 3.0404,median_income = 4.3750
"longitude = -118.35, latitude = 34.16, housing_median_age = 42.0, total_rooms = 2267.0, total_bedrooms = 478.0, population = 1083.0, households = 458.0, median_house_value = 250000.0, ocean_proximity = <1H OCEAN",median_income = 3.2015,median_income = 4.1518
"longitude = -122.44, latitude = 37.78, housing_median_age = 44.0, total_rooms = 1545.0, total_bedrooms = 334.0, population = 561.0, households = 326.0, median_house_value = 412500.0, ocean_proximity = NEAR BAY",median_income = 3.875,median_income = 4.8958
