prefix,suffix,response
"target = 3, alcohol = 12.53, ash = 2.64, alcalinity_of_ash = 25.0, magnesium = 96, total_phenols = 1.79, flavanoids = 0.6, nonflavanoid_phenols = 0.63, proanthocyanins = 1.1, color_intensity = 5.0, hue = 0.82, od280_od315_of_diluted_wines = 1.69, proline = 515",malic_acid = 5.51,malic_acid = 1.79
"target = 3, alcohol = 13.17, ash = 2.32, alcalinity_of_ash = 22.0, magnesium = 93, total_phenols = 1.74, flavanoids = 0.63, nonflavanoid_phenols = 0.61, proanthocyanins = 1.55, color_intensity = 7.9, hue = 0.6, od280_od315_of_diluted_wines = 1.48, proline = 725",malic_acid = 5.19,malic_acid = 3.45
"target = 1, alcohol = 13.16, ash = 2.67, alcalinity_of_ash = 18.6, magnesium = 101, total_phenols = 2.8, flavanoids = 3.24, nonflavanoid_phenols = 0.3, proanthocyanins = 2.81, color_intensity = 5.68, hue = 1.03, od280_od315_of_diluted_wines = 3.17, proline = 1185",malic_acid = 2.36,malic_acid = 1.67
"target = 1, alcohol = 13.24, ash = 2.87, alcalinity_of_ash = 21.0, magnesium = 118, total_phenols = 2.8, flavanoids = 2.69, nonflavanoid_phenols = 0.39, proanthocyanins = 1.82, color_intensity = 4.32, hue = 1.04, od280_od315_of_diluted_wines = 2.93, proline = 735",malic_acid = 2.59,malic_acid = 2.59
"target = 2, alcohol = 12.67, ash = 2.24, alcalinity_of_ash = 18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450",malic_acid = 0.98,malic_acid = 1.61
"target = 2, alcohol = 12.34, ash = 2.46, alcalinity_of_ash = 21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.8, hue = 0.8, od280_od315_of_diluted_wines = 3.38, proline = 438",malic_acid = 2.45,malic_acid = 2.45
"target = 2, alcohol = 11.64, ash = 2.46, alcalinity_of_ash = 21.6, magnesium = 84, total_phenols = 1.95, flavanoids = 1.69, nonflavanoid_phenols = 0.48, proanthocyanins = 1.35, color_intensity = 2.8, hue = 1.0, od280_od315_of_diluted_wines = 2.75, proline = 680",malic_acid = 2.06,malic_acid = 1.36
"target = 1, alcohol = 13.41, ash = 2.12, alcalinity_of_ash = 18.8, magnesium = 90, total_phenols = 2.45, flavanoids = 2.68, nonflavanoid_phenols = 0.27, proanthocyanins = 1.48, color_intensity = 4.28, hue = 0.91, od280_od315_of_diluted_wines = 3.0, proline = 1035",malic_acid = 3.84,malic_acid = 3.84
"target = 2, alcohol = 11.87, ash = 2.39, alcalinity_of_ash = 21.0, magnesium = 82, total_phenols = 2.86, flavanoids = 3.03, nonflavanoid_phenols = 0.21, proanthocyanins = 2.91, color_intensity = 2.8, hue = 0.75, od280_od315_of_diluted_wines = 3.64, proline = 380",malic_acid = 4.31,malic_acid = 0.69
"target = 1, alcohol = 14.02, ash = 2.21, alcalinity_of_ash = 16.0, magnesium = 96, total_phenols = 2.65, flavanoids = 2.33, nonflavanoid_phenols = 0.26, proanthocyanins = 1.98, color_intensity = 4.7, hue = 1.04, od280_od315_of_diluted_wines = 3.59, proline = 1035",malic_acid = 1.68,malic_acid = 1.71
